"fish" "day" "state" "sub"
"1" "1" 1 1 2
"2" "2" 1 NA NA
"3" "3" 1 1 2
"4" "4" 1 NA NA
"5" "5" 1 NA NA
"6" "6" 1 NA NA
"7" "7" 1 NA NA
"8" "8" 1 NA NA
"9" "9" 1 1 2
"10" "10" 1 NA NA
"11" "11" 1 NA NA
"12" "12" 1 NA NA
"13" "13" 1 NA NA
"14" "14" 1 NA NA
"15" "15" 1 NA NA
"16" "16" 1 NA NA
"17" "17" 1 NA NA
"18" "18" 1 1 2
"19" "19" 1 NA NA
"20" "20" 1 1 2
"21" "21" 1 NA NA
"22" "22" 1 NA NA
"23" "23" 1 1 2
"24" "24" 1 NA NA
"25" "25" 1 NA NA
"26" "26" 1 1 2
"27" "27" 1 NA NA
"28" "28" 1 1 2
"29" "29" 1 1 2
"30" "30" 1 NA NA
"31" "31" 1 1 2
"32" "32" 1 NA NA
"33" "33" 1 NA NA
"34" "34" 1 1 2
"35" "35" 1 NA NA
"36" "36" 1 1 2
"37" "37" 1 NA NA
"38" "38" 1 NA NA
"39" "39" 1 1 2
"40" "40" 1 NA NA
"41" "41" 1 1 2
"42" "42" 1 NA NA
"43" "43" 1 1 2
"44" "44" 1 NA NA
"45" "45" 1 NA NA
"46" "46" 1 NA NA
"47" "47" 1 1 2
"48" "48" 1 1 2
"49" "49" 1 NA NA
"50" "50" 1 1 2
"51" "1" 2 NA NA
"52" "2" 2 NA NA
"53" "3" 2 NA NA
"54" "4" 2 2 2
"55" "5" 2 1 2
"56" "6" 2 3 1
"57" "7" 2 NA NA
"58" "8" 2 2 3
"59" "9" 2 NA NA
"60" "10" 2 1 2
"61" "11" 2 NA NA
"62" "12" 2 NA NA
"63" "13" 2 NA NA
"64" "14" 2 NA NA
"65" "15" 2 NA NA
"66" "16" 2 NA NA
"67" "17" 2 NA NA
"68" "18" 2 1 2
"69" "19" 2 NA NA
"70" "20" 2 1 2
"71" "21" 2 NA NA
"72" "22" 2 NA NA
"73" "23" 2 NA NA
"74" "24" 2 NA NA
"75" "25" 2 3 2
"76" "26" 2 1 2
"77" "27" 2 1 2
"78" "28" 2 NA NA
"79" "29" 2 NA NA
"80" "30" 2 NA NA
"81" "31" 2 NA NA
"82" "32" 2 NA NA
"83" "33" 2 NA NA
"84" "34" 2 NA NA
"85" "35" 2 NA NA
"86" "36" 2 NA NA
"87" "37" 2 NA NA
"88" "38" 2 NA NA
"89" "39" 2 NA NA
"90" "40" 2 NA NA
"91" "41" 2 NA NA
"92" "42" 2 1 3
"93" "43" 2 1 2
"94" "44" 2 NA NA
"95" "45" 2 2 3
"96" "46" 2 NA NA
"97" "47" 2 3 3
"98" "48" 2 1 2
"99" "49" 2 NA NA
"100" "50" 2 NA NA
"101" "1" 3 4 2
"102" "2" 3 NA NA
"103" "3" 3 1 2
"104" "4" 3 NA NA
"105" "5" 3 NA NA
"106" "6" 3 3 3
"107" "7" 3 NA NA
"108" "8" 3 NA NA
"109" "9" 3 4 3
"110" "10" 3 NA NA
"111" "11" 3 3 1
"112" "12" 3 NA NA
"113" "13" 3 NA NA
"114" "14" 3 NA NA
"115" "15" 3 4 3
"116" "16" 3 NA NA
"117" "17" 3 NA NA
"118" "18" 3 NA NA
"119" "19" 3 3 1
"120" "20" 3 NA NA
"121" "21" 3 NA NA
"122" "22" 3 NA NA
"123" "23" 3 2 2
"124" "24" 3 NA NA
"125" "25" 3 NA NA
"126" "26" 3 NA NA
"127" "27" 3 NA NA
"128" "28" 3 NA NA
"129" "29" 3 NA NA
"130" "30" 3 NA NA
"131" "31" 3 NA NA
"132" "32" 3 NA NA
"133" "33" 3 NA NA
"134" "34" 3 NA NA
"135" "35" 3 NA NA
"136" "36" 3 1 2
"137" "37" 3 NA NA
"138" "38" 3 NA NA
"139" "39" 3 NA NA
"140" "40" 3 NA NA
"141" "41" 3 2 3
"142" "42" 3 NA NA
"143" "43" 3 1 2
"144" "44" 3 1 2
"145" "45" 3 NA NA
"146" "46" 3 NA NA
"147" "47" 3 NA NA
"148" "48" 3 3 3
"149" "49" 3 NA NA
"150" "50" 3 NA NA
"151" "1" 4 4 2
"152" "2" 4 NA NA
"153" "3" 4 1 2
"154" "4" 4 NA NA
"155" "5" 4 2 2
"156" "6" 4 3 1
"157" "7" 4 NA NA
"158" "8" 4 NA NA
"159" "9" 4 NA NA
"160" "10" 4 NA NA
"161" "11" 4 NA NA
"162" "12" 4 NA NA
"163" "13" 4 NA NA
"164" "14" 4 NA NA
"165" "15" 4 4 2
"166" "16" 4 NA NA
"167" "17" 4 NA NA
"168" "18" 4 2 2
"169" "19" 4 3 2
"170" "20" 4 NA NA
"171" "21" 4 1 2
"172" "22" 4 NA NA
"173" "23" 4 NA NA
"174" "24" 4 NA NA
"175" "25" 4 2 2
"176" "26" 4 NA NA
"177" "27" 4 NA NA
"178" "28" 4 NA NA
"179" "29" 4 NA NA
"180" "30" 4 5 3
"181" "31" 4 NA NA
"182" "32" 4 6 3
"183" "33" 4 3 3
"184" "34" 4 6 2
